,time,id,icij_sar_id,originator_bank,filer_org_name,beneficiary_bank,Transaction_amount_BTC,Transaction_amount_USD,Price,Sender,Receiver,Hash,originator_bank_country,beneficiary_bank_country,number_transactions,amount_transactions
78622,2015-07-16,237304,2713,Deutsche Bank,Deutsche Bank AG,Credit Suisse,4405.1031,1250750.5,283.9321754385965,1FVMMrjm3NfV1ZGPH3P2C1ui8rBj3yaunL,1DaFEKnGQa5aSw28pEjeQJu3MQ61CzfaP8,686574a4da44f3906ffa07a78aa12b537f1e0d0c2c64e908d5689d71716b4ee5,United Kingdom,Switzerland,1.0,40000000.0
78646,2016-12-21,237419,3863,Norvik Banka,The Bank of New York Mellon Corp.,Mashreqbank Psc,2499.98259641,2025296.4044,810.1242013888889,3J5WSesFwM9VLaeRB6qMMcWPoBvUEQ4UPs,35E3kXwtrm9Sr5Tnw5ppBESRX1j8WL87NY,769d3dfba2b9d8c1eddd53d167631227c4343bf525688eda5c0ed365c3e36945,Latvia,United Arab Emirates,1.0,50000.0
78803,2016-12-21,241199,3699,Deutsche Bank AG,Deutsche Bank AG,Akbank Tas,2499.98259641,2025296.4044,810.1242013888889,3J5WSesFwM9VLaeRB6qMMcWPoBvUEQ4UPs,35E3kXwtrm9Sr5Tnw5ppBESRX1j8WL87NY,769d3dfba2b9d8c1eddd53d167631227c4343bf525688eda5c0ed365c3e36945,Germany,Turkey,1.0,34500.0
78960,2016-12-16,237421,3863,Credit Bank of Moscow OJSC,The Bank of New York Mellon Corp.,JSC Norvik Banka,2643.72038615,2057950.7881,778.4298214285714,3Ho9FR8UNoA1QUQ6TpmYFGccKbRsc6VQA4,3JAnB5b94Dp9q1SAJNnbk2Y6hh93ih6rXy,49389a08bd7119b8fdbb2de6787c3f03578cfbd4f12a526e04b24a3cdffcc854,Russia,Latvia,2.0,244413.0
79052,2016-12-16,243284,2307,Deutsche Bank AG Amsterdam,The Bank of New York Mellon Corp.,"Norvik Banka, JSC",2643.72038615,2057950.7881,778.4298214285714,3Ho9FR8UNoA1QUQ6TpmYFGccKbRsc6VQA4,3JAnB5b94Dp9q1SAJNnbk2Y6hh93ih6rXy,49389a08bd7119b8fdbb2de6787c3f03578cfbd4f12a526e04b24a3cdffcc854,Netherlands,Latvia,2.0,1662500.0
79144,2016-01-21,237580,2481,Trasta Komercbanka,The Bank of New York Mellon Corp.,Credit Suisse AG,6115.67901993,2534362.53046,414.4041114982578,1Gx4vXADdcL7HxBro3UFARoURbGXxaFegF,1NAUT8irAqf7Z1TnmhKeeJSJebpQqbDKTh,b758a709565f2c009f8da58f12d1bb65d394bd2f7e24df4aa8e5a5b99e8f90df,Latvia,Switzerland,3.0,5107800.0
79202,2015-11-11,237692,3649,United Overseas Bank Limited,The Bank of New York Mellon Corp.,"Citibank, N.A.",3130.50692363,1001534.7103200001,319.92732638888884,1F9tfoEKtZvgF5Ho2ovZXRWQj5QyC87Jys,1BHbfA1TuEbxuKgPSB7iyiZWGQQuafuLq2,a323f5984c85612a07a87380849a283a78df750a53511072c24885ea80c47132,Singapore,Indonesia,1.0,2000000.0
79358,2015-11-13,237694,3649,Bank of Communications,The Bank of New York Mellon Corp.,Credit Suisse AG,3090.16704867,1031461.6016,333.7882986111112,1D83pU938Nhz9ugbHKtRRuhjp42oFWd9HX,1MjvBbHg69uW4YT3myC8R49H1Mb7PP7wV3,dd83c0f9e9d942fd1aad5f0dc091bc3fb4cba324b6d9d4fd54beb8f39dea99ed,Hong Kong,Switzerland,2.0,1719961.07
79421,2015-11-13,237698,3649,Bank of Communications,The Bank of New York Mellon Corp.,Credit Suisse AG,3090.16704867,1031461.6016,333.7882986111112,1D83pU938Nhz9ugbHKtRRuhjp42oFWd9HX,1MjvBbHg69uW4YT3myC8R49H1Mb7PP7wV3,dd83c0f9e9d942fd1aad5f0dc091bc3fb4cba324b6d9d4fd54beb8f39dea99ed,Hong Kong,Switzerland,2.0,6339909.19
79484,2015-11-09,237699,3649,Bnp Paribas Wealth Management,The Bank of New York Mellon Corp.,"DBS Bank Ltd,",2969.0,1114122.525923345,375.25177700348434,"3NnkUHkSENsgMx6LSb2wxoqWobgvM1CMAu
3NzUQvkhhgJtGSP2d5cMwH9qCt3VxLvFV6
35TUQt5RLj2eQNpeQ6Gb5VyapgvCuNwGPx
34562ywt5pQJgUyppAwgriJ1WgEvpcT9oP
37svaqg3Be53X2MihQU9jwPihiHQXLeNse
3NCrxjDUZHkGMkVHLaJRQKNYqmPax6Sh7g
3CPBfhjES6dfJ97s1wSagrDN1jXh3Y7J7L
33uSMozwj2vgsxJGFSM6tmYYz6iMReMP7f
3C148voVij6bvKX8QrrXSgm3UjFCfCucDq
3N2JoELQ3jioSaeb32rcn6ukHKShzJMe6q",3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v,8c1a65cda2151a5c2c6f5bf54d2a0ae2d91ec200f2754c43a14898d5ec1153be,Singapore,Singapore,1.0,9000000.0
