time,Hash,Sender,Receiver,"Transaction_amount_BTC",Price,"Transaction_amount_USD"
"2015-12-22",a42cdd1531998ce1f982c137c74dd4a4c8e51808e209aea3a1eca6ea38eec31d,1JEqjXuUtbhuHJhdc2FBjDM7GnrEpm3XnQ,19zot95m7KuXUy6abWseEqwkSxyuRR9AzS,"2569.7797644","438.58118466898964","1127057.0534"
"2015-12-22",f38d6de5a5797f3fe699a09fce30e7e4399b460db7d5292ede84f60732cbebe8,1F3FqpogZMrCuAg6c4Td2o1jg5YkcT11Ng,1JEqjXuUtbhuHJhdc2FBjDM7GnrEpm3XnQ,"2570.1233103","438.58118466898964","1127207.7262"
"2015-12-22",0801244ac9415fc65fce8627a689452b6ca8c5d7daf5f4fbff9ebee9733d51de,1KGyG2g617FQzwY47g3NzEGgbWZpGR5nzr,1F3FqpogZMrCuAg6c4Td2o1jg5YkcT11Ng,"2579.2004103","438.58118466898964","1131188.7714"
"2015-12-22",10a643c0f196ffacedad9a531211d0a9b7ce6c1adedfc9ce9579bd74d1757ff6,3KKTM974izm8LSdUfBL9Karz3ULiBGwrrT,3PaQ8Xf4G86PQ5P7dHA1E5fWFf1N9mGVAh,"2692.60291176","438.58118466898964","1180924.97488"
"2015-12-22",525f1b4fab61f436fe878cff4e7274f9d2d5d63810ab5be609aea2548579b746,1UDbLxS9WQG2SdE1CGiEUyy9Etp4oifxM,1KGyG2g617FQzwY47g3NzEGgbWZpGR5nzr,"2579.22363169","438.58118466898964","1131198.95591"
"2015-12-22",45c2082b296ca05c0a0de391b60a65850eeb77819c91ddd669a51267104a083f,17qExSPACyha4DtPXJGs8GwbcaJjm9Wxze,1UDbLxS9WQG2SdE1CGiEUyy9Etp4oifxM,"2579.84373169","438.58118466898964","1131470.92011"
"2015-12-22",fa4ef22463a317eb1f6be766e13b497066732de15b369dce78d240b74d126e44,1PmVRYaKcDXpcmgdohbdug5UcmqpRuC3qf,17qExSPACyha4DtPXJGs8GwbcaJjm9Wxze,"2580.19103169","438.58118466898964","1131623.23935"
"2015-12-22",c74dec193b626328a7003d91556be85eb12d2bc7b213cab3aebebf7fb6dc2921,3EKKYYk1MsXVYHfh7k9ryecuLX5DwgqQ6W,3LfYF2gMXR7qHT6We1KZmf1fRSNE1VCnJg,"3999.99984271","438.58118466898964","1754324.66969"
"2015-12-22",097adee28a29cd075648822c222549b71907cf19b485676863f0907e6a05e0a8,"1GsY2Ek5LDtBFLUsNiRGwB7irBTX5vaAFM
12h83wz6JVA5a5Dx8GWC1HdvEdWaFFPb3q",16EHK2TZanXToQGhZqcJ6nmnjBTPsLC13M,2808,"438.58118466898964","1231535.9665505230"
"2015-12-22",ef3fda5a6a94f4951289e3954cb1975c69cfaab4d0f1fa47718812378195e5f4,1BEtFDn47SXFUKbtfHSpvBeSejZ7B44iPA,1PmVRYaKcDXpcmgdohbdug5UcmqpRuC3qf,"2581.77113169","438.58118466898964","1132316.24148"
"2015-12-22",7efdceace19c18d57ed50ed51e8dea78add9d35a8b39b5988cb97c3181b8bf67,1Jqthiij4CKeALcM28kWNzG83bTLLL8KUy,1BEtFDn47SXFUKbtfHSpvBeSejZ7B44iPA,"2583.57380486","438.58118466898964","1133106.86002"
"2015-12-22",c88bb87ca11e15d1d3cef6714999468370697b9eb2544ac90b1358f6dbc0591f,1Fb4sCr1YgBapFgaEsvGedD7hi8JbNNE2u,1Jqthiij4CKeALcM28kWNzG83bTLLL8KUy,"2584.03990486","438.58118466898964","1133311.28271"
"2015-12-22",e550f695f64a40d529eeafea6f70753c7cc32f7fb5814c367a5ab1c7f707bfa3,1EUGKdCNZZTm7JrNVVeEpoTMHLqvTBSqyZ,1Fb4sCr1YgBapFgaEsvGedD7hi8JbNNE2u,"2586.07200486","438.58118466898964","1134202.52353"
"2015-12-22",a191054b959b82634c44365b1bbf15bab997c9388174500bc2cf4dcc24898198,1jYHMEtYocFZ195AKrhEH3oKqK2hPTXqc,1EUGKdCNZZTm7JrNVVeEpoTMHLqvTBSqyZ,"2591.07210486","438.58118466898964","1136395.47331"
"2015-12-22",32232c169fc6928caeddd0a2f711dd16c69db144f8864b33f849c08647ec11d1,12vohSAY5Vdad5FDwKCszNiLtZBFxkuBxB,1jYHMEtYocFZ195AKrhEH3oKqK2hPTXqc,"2596.31220486","438.58118466898964","1138693.68258"
"2015-12-22",a874618504a95777ea6584837c23f0fc97ddb6173b40a8fe2b34495630a5ff5e,1Bj2TvKH6YkDfi6fqye2cUedfwoj6cBcbN,12vohSAY5Vdad5FDwKCszNiLtZBFxkuBxB,"2596.32230486","438.58118466898964","1138698.11225"
"2015-12-22",d7a29e6f496c91e9f6fb88893671c4a67bab656ef69c0c6444298d7d1839386d,1JerX3vqLskizYc8m1HkwTdfWhqxfD4Nyr,1Bj2TvKH6YkDfi6fqye2cUedfwoj6cBcbN,"2596.34530486","438.58118466898964","1138708.19962"
"2015-12-22",64fc321500bacd99b242d27283424d735fa4e6b8285c3277603260b1496f4b38,1EfjWFGUtj61jCbes9Xv74Pu1qoiKD5cwZ,1JerX3vqLskizYc8m1HkwTdfWhqxfD4Nyr,"2599.14530486","438.58118466898964","1139936.22693"
"2015-12-22",f99df054b54c93302c45844d31f7e50bd954a836bc647ab3af153fca60a2111e,1uDKpz9mkZhvamJGNKtxyaYdgd6xSAgW5,1EfjWFGUtj61jCbes9Xv74Pu1qoiKD5cwZ,"2600.25794992","438.58118466898964","1140424.21212"
